task_id,scheduled,completed,missing,successes,success_rate,wilson95,termination_counts
0,47,15,32,12,0.2553191489361702,"[0.152531540350547, 0.3950817553041745]","{'success': 12, 'interrupted': 3}"
1,47,0,47,0,0.0,"[0.0, 0.07555760416399632]",{}
2,47,0,47,0,0.0,"[0.0, 0.07555760416399632]",{}
3,47,0,47,0,0.0,"[0.0, 0.07555760416399632]",{}
4,47,0,47,0,0.0,"[0.0, 0.07555760416399632]",{}
5,47,0,47,0,0.0,"[0.0, 0.07555760416399632]",{}
6,47,0,47,0,0.0,"[0.0, 0.07555760416399632]",{}
7,47,0,47,0,0.0,"[0.0, 0.07555760416399632]",{}
8,47,0,47,0,0.0,"[0.0, 0.07555760416399632]",{}
9,47,0,47,0,0.0,"[0.0, 0.07555760416399632]",{}
