task_id,scheduled,completed,missing,successes,success_rate,wilson95,termination_counts
0,3,3,0,3,1.0,"[0.4385029682449546, 1.0]",{'success': 3}
1,3,3,0,2,0.6666666666666666,"[0.2076596008020477, 0.9385080552796037]","{'success': 2, 'replan_budget': 1}"
2,3,3,0,3,1.0,"[0.4385029682449546, 1.0]",{'success': 3}
3,3,3,0,2,0.6666666666666666,"[0.2076596008020477, 0.9385080552796037]","{'success': 2, 'replan_budget': 1}"
4,3,3,0,3,1.0,"[0.4385029682449546, 1.0]",{'success': 3}
5,3,3,0,3,1.0,"[0.4385029682449546, 1.0]",{'success': 3}
6,3,3,0,3,1.0,"[0.4385029682449546, 1.0]",{'success': 3}
7,3,3,0,3,1.0,"[0.4385029682449546, 1.0]",{'success': 3}
8,3,3,0,3,1.0,"[0.4385029682449546, 1.0]",{'success': 3}
9,3,3,0,2,0.6666666666666666,"[0.2076596008020477, 0.9385080552796037]","{'step_budget': 1, 'success': 2}"
